skim_type	skim_variable	n_missing	complete_rate	character.min	character.max	character.empty	character.n_unique	character.whitespace	numeric.mean	numeric.sd	numeric.p0	numeric.p25	numeric.p50	numeric.p75	numeric.p100	numeric.hist
character	property_id	0	1	24	24	0	38015	0	NA	NA	NA	NA	NA	NA	NA	NA
character	city	0	1	10	10	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
character	property_type	0	1	4	11	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA
character	operation_type	0	1	5	5	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA
character	title	24	0.999368670261739	3	125	0	15776	0	NA	NA	NA	NA	NA	NA	NA	NA
character	description	12	0.999684335130869	1	3661	0	30044	0	NA	NA	NA	NA	NA	NA	NA	NA
numeric	price	0	1	NA	NA	NA	NA	NA	647064225.440011	300259932.243274	3e+08	4.15e+08	5.5e+08	8e+08	1.65e+09	▇▃▂▁▁
numeric	month	0	1	NA	NA	NA	NA	NA	5.67468104695515	3.28935405035674	1	3	5	8	12	▇▅▅▃▅
numeric	year	0	1	NA	NA	NA	NA	NA	2020.29464684993	0.760134533986266	2019	2020	2020	2021	2021	▃▁▆▁▇
numeric	surface_total	0	1	NA	NA	NA	NA	NA	126.214888859661	125.315793193433	25	119	119	119	17137	▇▁▁▁▁
numeric	surface_covered	0	1	NA	NA	NA	NA	NA	113.274207549651	37.3664034954283	2	108	108	108	1336	▇▁▁▁▁
numeric	rooms	0	1	NA	NA	NA	NA	NA	3.00018413784033	0.99081644523782	1	3	3	3	11	▇▁▁▁▁
numeric	bedrooms	0	1	NA	NA	NA	NA	NA	3.13791924240431	1.52880386710087	0	2	3	3	11	▃▇▁▁▁
numeric	bathrooms	0	1	NA	NA	NA	NA	NA	2.64877022228068	1.00823123633119	1	2	2	3	13	▇▂▁▁▁
numeric	lat	0	1	NA	NA	NA	NA	NA	4.69151658104243	0.0374615117851817	4.5767101	4.678768	4.7	4.718	4.7653054125	▁▂▂▇▂
numeric	lon	0	1	NA	NA	NA	NA	NA	-74.0628858839043	0.0322855971769539	-74.1702055	-74.076479	-74.050058	-74.03923230475	-74.0257056	▁▁▁▃▇
numeric	precio_mt2	0	1	NA	NA	NA	NA	NA	5336241.85618835	2360214.25608855	20424	3529412	4747899	6554622	13025210	▁▇▅▂▁
numeric	binaria_parking	1	0.999973694594239	NA	NA	NA	NA	NA	0.691639922133951	0.461822206917843	0	0	1	1	1	▃▁▁▁▇
numeric	binaria_terrace	1	0.999973694594239	NA	NA	NA	NA	NA	0.394381017519861	0.488723760191119	0	0	0	1	1	▇▁▁▁▅
numeric	binaria_gym	1	0.999973694594239	NA	NA	NA	NA	NA	0.208423212500658	0.406186308439929	0	0	0	0	1	▇▁▁▁▂
numeric	binaria_laundry	1	0.999973694594239	NA	NA	NA	NA	NA	0.229941600462987	0.420800569085028	0	0	0	0	1	▇▁▁▁▂
numeric	binaria_elevator	1	0.999973694594239	NA	NA	NA	NA	NA	0.151602041353186	0.358639437262703	0	0	0	0	1	▇▁▁▁▂
numeric	distancia_mall	0	1	NA	NA	NA	NA	NA	584.615302919329	362.846445611493	1.21222690465471	303.935162258289	516.941496411246	830.096214355808	3807.56623134995	▇▃▁▁▁
numeric	distancia_cai	0	1	NA	NA	NA	NA	NA	719.284725454194	365.443870952625	1.53084417677465	434.318907475606	683.324064046637	968.652634225861	2167.45553837265	▅▇▅▂▁
numeric	distancia_bus	0	1	NA	NA	NA	NA	NA	208.022403076926	131.272135822526	0	114.450670130181	182.485008043705	275.460478638374	2668.31455139746	▇▁▁▁▁
numeric	distancia_avenida	0	1	NA	NA	NA	NA	NA	411.396958280302	412.755778437027	0.00294270831752202	126.778413526922	284.094943438188	555.834382308739	3239.26266413064	▇▂▁▁▁
